Uke,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,,,,,,,,,,,,,,,,,,,,,
1,59.90%,66.60%,46.70%,71.70%,64.80%,63.80%,67.70%,61.70%,71.80%,66.80%,,,,,,,,,,,,,,,,,,,,,
2,55.10%,65.10%,45.20%,66.70%,64.10%,61.40%,63.90%,58.70%,66.70%,63.70%,,,,,,,,,,,,,,,,,,,,,
3,50.50%,60.90%,42.90%,62.90%,62.60%,58.00%,59.90%,56.60%,61.30%,60.90%,,,,,,,,,,,,,,,,,,,,,
4,48.60%,57.40%,41.40%,57.80%,61.60%,53.80%,56.50%,53.40%,59.80%,56.30%,,,,,,,,,,,,,,,,,,,,,
5,46.90%,54.10%,39.00%,53.40%,59.30%,49.70%,52.60%,49.10%,57.40%,52.70%,,,,,,,,,,,,,,,,,,,,,
6,43.10%,50.70%,36.80%,48.40%,56.30%,46.20%,48.10%,44.50%,53.80%,48.50%,,,,,,,,,,,,,,,,,,,,,
7,39.20%,47.50%,34.50%,44.60%,54.20%,43.70%,43.90%,40.30%,50.20%,44.90%,,,,,,,,,,,,,,,,,,,,,
8,35.80%,44.40%,31.00%,42.80%,52.70%,41.30%,38.90%,37.50%,46.00%,42.30%,,,,,,,,,,,,,,,,,,,,,
9,32.20%,40.00%,27.00%,39.40%,49.90%,38.70%,33.90%,33.90%,41.70%,39.40%,,,,,,,,,,,,,,,,,,,,,
10,28.80%,35.50%,24.20%,36.30%,46.50%,35.90%,29.40%,29.90%,37.10%,36.60%,,,,,,,,,,,,,,,,,,,,,
11,25.60%,32.40%,21.30%,32.80%,43.90%,33.00%,25.60%,27.30%,33.60%,34.00%,,,,,,,,,,,,,,,,,,,,,
12,22.30%,30.50%,18.60%,30.50%,40.70%,31.10%,22.10%,24.70%,30.60%,30.20%,,,,,,,,,,,,,,,,,,,,,
13,19.50%,27.50%,16.00%,29.90%,37.70%,29.70%,19.00%,22.80%,27.80%,26.20%,,,,,,,,,,,,,,,,,,,,,
14,17.30%,24.50%,14.20%,27.70%,34.40%,27.50%,16.40%,21.70%,25.30%,22.80%,,,,,,,,,,,,,,,,,,,,,
15,18.10%,22.60%,11.90%,24.70%,31.80%,25.00%,14.20%,20.50%,22.80%,20.30%,,,,,,,,,,,,,,,,,,,,,
16,16.50%,21.70%,11.20%,22.80%,29.10%,23.60%,14.30%,18.80%,21.20%,18.30%,,,,,,,,,,,,,,,,,,,,,
17,13.80%,20.70%,9.70%,20.00%,26.80%,26.40%,14.80%,16.70%,19.00%,16.90%,,,,,,,,,,,,,,,,,,,,,
18,,19.70%,9.50%,18.50%,24.30%,30.20%,15.70%,16.20%,18.70%,15.20%,,,,,,,,,,,,,,,,,,,,,
19,,20.40%,11.30%,20.50%,22.20%,29.70%,26.10%,15.60%,20.00%,14.90%,,,,,,,,,,,,,,,,,,,,,
20,,23.10%,13.60%,23.50%,20.00%,31.60%,34.50%,22.10%,21.80%,16.10%,,,,,,,,,,,,,,,,,,,,,
21,,28.90%,20.00%,28.10%,19.90%,40.90%,41.50%,30.30%,27.30%,16.50%,,,,,,,,,,,,,,,,,,,,,
22,,33.40%,24.00%,36.10%,23.00%,43.50%,50.20%,37.50%,39.20%,17.20%,,,,,,,,,,,,,,,,,,,,,
23,,40.60%,31.90%,43.80%,31.20%,53.00%,54.60%,48.10%,45.50%,19.40%,,,,,,,,,,,,,,,,,,,,,
24,,49.30%,39.40%,50.60%,42.00%,58.60%,59.50%,55.20%,50.20%,23.20%,,,,,,,,,,,,,,,,,,,,,
25,,57.40%,46.70%,54.40%,57.00%,62.70%,61.60%,60.00%,56.70%,26.50%,,,,,,,,,,,,,,,,,,,,,
26,,63.10%,54.30%,56.80%,69.00%,65.30%,62.40%,62.20%,62.80%,32.20%,,,,,,,,,,,,,,,,,,,,,
27,,67.00%,58.40%,59.30%,74.10%,67.70%,62.80%,63.20%,65.00%,43.40%,,,,,,,,,,,,,,,,,,,,,
28,,72.20%,61.10%,60.50%,76.90%,67.50%,62.70%,65.20%,69.00%,53.40%,,,,,,,,,,,,,,,,,,,,,
29,,75.90%,63.90%,60.10%,81.30%,68.50%,62.90%,67.60%,72.40%,59.80%,,,,,,,,,,,,,,,,,,,,,
30,,77.40%,66.30%,62.00%,83.60%,70.60%,63.80%,71.00%,76.80%,65.30%,,,,,,,,,,,,,,,,,,,,,
31,,77.70%,69.30%,61.60%,89.00%,70.70%,65.80%,75.30%,78.70%,69.20%,,,,,,,,,,,,,,,,,,,,,
32,,83.70%,69.60%,61.40%,91.30%,71.10%,68.00%,77.70%,82.30%,74.50%,,,,,,,,,,,,,,,,,,,,,
33,,85.30%,70.20%,61.20%,91.50%,73.90%,70.80%,79.80%,82.90%,79.50%,,,,,,,,,,,,,,,,,,,,,
34,,87.40%,70.30%,60.30%,93.10%,76.30%,71.70%,79.30%,85.80%,83.00%,,,,,,,,,,,,,,,,,,,,,
35,,88.00%,69.70%,58.10%,91.90%,78.70%,71.00%,78.80%,88.50%,87.80%,,,,,,,,,,,,,,,,,,,,,
36,,88.50%,68.90%,57.20%,91.60%,79.70%,71.30%,80.50%,89.20%,89.70%,,,,,,,,,,,,,,,,,,,,,
37,,89.50%,70.20%,55.50%,93.70%,82.80%,76.80%,82.40%,88.80%,89.00%,,,,,,,,,,,,,,,,,,,,,
38,,92.00%,70.10%,56.30%,94.80%,83.90%,81.90%,82.90%,87.90%,92.00%,,,,,,,,,,,,,,,,,,,,,
39,,93.30%,72.30%,58.80%,95.10%,83.60%,84.60%,83.30%,91.80%,91.90%,,,,,,,,,,,,,,,,,,,,,
40,,93.30%,77.40%,61.20%,95.10%,82.90%,84.40%,86.60%,89.90%,91.20%,,,,,,,,,,,,,,,,,,,,,
41,,94.30%,78.50%,62.70%,94.70%,82.80%,90.20%,87.40%,87.30%,89.20%,,,,,,,,,,,,,,,,,,,,,
42,,92.90%,78.30%,64.40%,92.00%,82.50%,90.70%,88.00%,84.50%,86.40%,,,,,,,,,,,,,,,,,,,,,
43,,89.60%,80.40%,68.70%,90.70%,83.60%,89.70%,88.40%,82.70%,85.80%,,,,,,,,,,,,,,,,,,,,,
44,,87.50%,82.80%,68.50%,90.60%,82.50%,87.90%,88.20%,80.50%,84.70%,,,,,,,,,,,,,,,,,,,,,
45,,84.10%,88.50%,66.90%,92.30%,79.60%,86.00%,86.60%,76.60%,83.90%,,,,,,,,,,,,,,,,,,,,,
46,,80.60%,86.70%,66.80%,91.30%,77.00%,85.30%,84.40%,74.70%,83.80%,,,,,,,,,,,,,,,,,,,,,
47,,77.70%,84.10%,64.20%,94.30%,74.50%,81.80%,82.30%,73.20%,81.20%,,,,,,,,,,,,,,,,,,,,,
48,,73.00%,80.70%,60.40%,93.20%,71.80%,79.00%,78.90%,70.30%,79.80%,,,,,,,,,,,,,,,,,,,,,
49,,68.90%,76.50%,56.20%,89.90%,70.30%,76.20%,78.10%,69.60%,79.40%,,,,,,,,,,,,,,,,,,,,,
50,,66.50%,71.70%,54.60%,86.10%,68.50%,71.80%,74.20%,66.50%,78.30%,,,,,,,,,,,,,,,,,,,,,
51,,65.50%,69.70%,51.00%,83.50%,66.40%,68.10%,72.70%,65.10%,78.10%,,,,,,,,,,,,,,,,,,,,,
52,,63.70%,68.70%,49.90%,80.80%,64.80%,65.60%,70.80%,64.90%,78.30%,,,,,,,,,,,,,,,,,,,,,
53,,,,,76.90%,,,,,76.30%,,,,,,,,,,,,,,,,,,,,,
